trial,step_count,duration_sec,n_valid_intervals,mean_step_time,std_step_time,min_step_time_used,max_step_time_used,cadence_spm
Kinan_Jalan34,7,5.772980000008829,5,0.46350660000171046,0.23685303445808373,0.32007299999531824,0.8834100000094622,72.7527204319706
Kinan_Jalan35,6,3.815476999996463,1,0.6602419999981066,0.0,0.6602419999981066,0.6602419999981066,94.35255408441297
Kinan_Jalan36,5,5.197427999999491,3,0.348835000001903,0.034841945593445514,0.3236540000070818,0.3885989999980666,57.72085731635521
Kinan_Jalan37,9,6.36445900000399,3,0.3530273333308287,0.037513236123107745,0.33080799999879673,0.3963389999989886,84.84617467088114
Kinan_Jalan38,4,4.742134000000078,0,,,,,
Kinan_Jalan39,10,6.440675999998348,3,0.7389816666642824,0.42481260408205285,0.38923699999577366,1.2117209999996703,93.15792317454782
Kinan_Jalan3,9,6.4633429999958025,2,0.5221089999977266,0.19811434952587098,0.3820209999976214,0.6621969999978319,83.54809577649688
Kinan_Jalan40,7,5.411065999986022,4,0.3748547499999404,0.07947084550237668,0.33343800000147894,0.49404499999945983,77.61871690367202
Kinan_Jalan41,7,4.643588999999338,0,,,,,
Kinan_Jalan42,3,6.11840900000243,1,0.45578699999896344,0.0,0.45578699999896344,0.45578699999896344,29.419412791777816
Kinan_Jalan43,17,13.706993999992847,8,0.5305016249985783,0.3255088980040263,0.3249880000075791,1.2752789999940433,74.41456529422369
Kinan_Jalan44,14,10.891129999989062,4,0.49431499999627704,0.33220072163323566,0.32048299998859875,0.992536999998265,77.12698315058618
Kinan_Jalan45,14,12.587213999999221,8,0.5598768750005547,0.31409099830895665,0.3117679999995744,1.0281600000016624,66.73438617950342
Kinan_Jalan46,14,11.042975999996997,4,0.35487450000437093,0.059681181583800515,0.3171020000008866,0.4439859999984037,76.06645165218401
Kinan_Jalan47,10,8.843222000010428,4,0.6321697499988659,0.500095745654856,0.3215419999905862,1.3785009999992326,67.84857374374323
Kinan_Jalan48,13,11.191214000005857,5,0.41768079999892505,0.13623157573952568,0.3316999999951804,0.648959999991348,69.69753236776562
Kinan_Jalan49,10,9.694583999997121,5,0.48019959999946876,0.288848800534827,0.3210959999996703,0.9946019999915734,61.890226543003614
Kinan_Jalan4,9,5.275719999997818,2,0.3326679999991029,0.0022273863584903416,0.331093000000692,0.33424299999751383,102.35569742143694
Kinan_Jalan50,5,6.876514999996289,2,0.3523124999992433,0.027999307221688172,0.3325139999942621,0.3721110000042245,43.62674988713933
Kinan_Jalan51,9,8.30863300000783,1,0.5498240000015358,0.0,0.5498240000015358,0.5498240000015358,64.99264078693705
Kinan_Jalan52,9,7.520868999999948,2,0.3628095000021858,0.03488511304190945,0.3381420000077924,0.38747699999657925,71.80021351256134
Kinan_Jalan53,8,7.456965000004857,2,0.653822999993281,0.4545338957936083,0.332418999998481,0.9752269999880809,64.36935133793538
Kinan_Jalan54,13,9.595911999989767,2,0.3553705000085756,0.03787758894455473,0.32858700001088437,0.38215400000626687,81.28461369808642
Kinan_Jalan55,15,11.353767000007792,8,0.48004062499967404,0.4045245272027926,0.32271000000764616,1.480093999998644,79.26884530917204
Kinan_Jalan56,8,7.224412999988999,2,0.41416149999713525,0.12068544987987011,0.3288239999965299,0.4994989999977406,66.44138423436353
Kinan_Jalan57,16,12.064577999990433,10,0.5804435000027297,0.3617419439943082,0.32601299999805633,1.3357039999973495,79.57178444208834
Kinan_Jalan58,12,9.22305200000119,5,0.5930199999973411,0.49658088236566084,0.3278699999937089,1.480199999990873,78.06526516384243
Kinan_Jalan59,7,8.037997000006726,3,0.735443000002609,0.5109572385708192,0.33533400000305846,1.3110129999986384,52.25182343308271
Kinan_Jalan5,6,5.218271000005188,2,0.3306239999983518,0.0008782266159969462,0.33000300000276184,0.33124499999394175,68.98836798618586
Kinan_Jalan60,12,10.905541000000085,5,0.5794319999986328,0.5149860039187528,0.3251369999925373,1.4998049999994691,66.02148394105294
Kinan_Jalan61,5,8.607943999988493,3,0.7176363333322419,0.39282653075620394,0.4474269999918761,1.1682609999988927,34.85152784455859
Kinan_Jalan62,8,7.414429999989807,2,0.7670655000038096,0.6152260331521133,0.3320349999994505,1.2020960000081686,64.73862454708723
Kinan_Jalan63,13,11.73576999999932,5,0.5058524000021862,0.36853641031035356,0.31994899999699555,1.1638359999924432,66.46347022820362
Kinan_Jalan64,9,7.9184799999929965,5,0.555019199999515,0.4644248872278367,0.31777199999487493,1.3845989999972517,68.19490609314889
Kinan_Jalan65,8,5.711412999997265,3,0.4081443333319233,0.12514729914035866,0.33392499999899883,0.5526340000069467,84.04225014024198
Kinan_Jalan66,7,7.422328000000562,1,0.6114679999882355,0.0,0.6114679999882355,0.6114679999882355,56.58601991180775
Kinan_Jalan67,21,16.984006000013324,10,0.6105207000000519,0.38817243029680104,0.32643800000369083,1.434794000000693,74.18744435199868
Kinan_Jalan68,17,14.787089999997988,12,0.5096170833324626,0.25301169980959853,0.3215419999905862,1.048534000001382,68.9790891920005
Kinan_Jalan69,27,20.2320289999916,14,0.6583037857147117,0.4204176644844281,0.32629199999792036,1.4794390000024578,80.07105960557257
Kinan_Jalan6,10,6.205053999998199,3,0.36635433333382633,0.06764120840308604,0.325832000002265,0.44444099999964237,96.69537122483932
Kinan_Jalan70,21,17.161791000005906,7,0.4836878571409865,0.18340679585264674,0.3238870000059251,0.7796620000008261,73.41891064863606
Kinan_Jalan71,17,12.677452000003541,8,0.561833249999836,0.2158736342215359,0.33145900000818074,0.9846810000017285,80.4578080831791
Kinan_Jalan72,15,16.318767999997362,6,0.35679299999659025,0.054463434495062094,0.3095869999960996,0.4461779999983264,55.15122220011618
Kinan_Jalan7,7,5.780470999998215,2,0.4353115000012622,0.07019519726941309,0.38567600000533275,0.4849469999971916,72.6584390787757
Kinan_Jalan8,6,6.1775090000010096,2,0.5544579999987036,0.2289937026596586,0.39253499999904307,0.7163809999983641,58.27591671658288
Kinan_Jalan9,6,5.9484860000011395,2,0.35600549999799114,0.04311300755499796,0.3255199999985052,0.38649099999747705,60.51960112202181
Miftah_Jalan10,3,5.8777980000013486,2,0.35783050000463845,0.03810951997527255,0.33088300000235904,0.38477800000691786,30.623713166045974
Miftah_Jalan11,6,4.860115000003134,1,1.0347949999995762,0.0,1.0347949999995762,1.0347949999995762,74.07232133391244
Miftah_Jalan12,6,7.15053299999272,4,0.35746649999782676,0.03156986175816556,0.3299479999986943,0.3850419999944279,50.34589729190349
Miftah_Jalan13,5,6.7025419999990845,2,0.7459340000059456,0.5829048892818625,0.333758000007947,1.1581100000039442,44.75913765255645
